Model,Fold_1_F1,Fold_2_F1,Fold_3_F1,Average_F1
XGBoost,0.8740068104426788,0.4325153374233129,0.7028839704896043,0.6698020394518652
Random_Forest,0.8451472191930207,0.319751166407465,0.7429955032860602,0.6359646296288487
Logistic_Regression,0.7814840027229408,0.6850704225352112,0.9121621621621622,0.7929055291401048
Decision_Tree,0.7125506072874493,0.2652995834668376,0.7658045977011494,0.5812182628184788
